OpCode,Family,Genus,Species,Code,Number,Length_mm,Range_mm,Direction_deg,Depth_m,Mgmt,Site
PUP001,Acanthuridae,Naso,lituratus,NALI,1,174.247,7172.923,8.122,7.3152,RES,PUP
PUP001,Acanthuridae,Acanthurus,triostegus,ACTR,1,145.85,7622.989,18.229,7.3152,RES,PUP
PUP001,Acanthuridae,Acanthurus,leucopareius,ACLE,1,200.789,6066.851,7.663,7.3152,RES,PUP
PUP001,Scaridae,Scarus,rubroviolaceus,SCRU,1,309.943,7510.506,4.117,7.3152,RES,PUP
PUP001,Acanthuridae,Acanthurus,leucopareius,ACLE,1,141.093,5208.145,7.543,7.3152,RES,PUP
PUP001,Acanthuridae,Acanthurus,olivaceus,ACOL,1,235.113,5759.079,7.242,7.3152,RES,PUP
PUP001,Mullidae,Parupeneus,pleurostigma,PAPL,1,198.421,6079.92,21.452,7.3152,RES,PUP
PUP001,Acanthuridae,Acanthurus,leucopareius,ACLE,1,169.071,7595.194,5.831,7.3152,RES,PUP
PUP001,Acanthuridae,Acanthurus,triostegus,ACTR,1,145.601,5770.793,8.41,7.3152,RES,PUP
PUP001,Acanthuridae,Acanthurus,triostegus,ACTR,1,150.702,5227.624,13.293,7.3152,RES,PUP
PUP001,Acanthuridae,Acanthurus,triostegus,ACTR,1,151.407,3764.834,10.982,7.3152,RES,PUP
PUP001,Acanthuridae,Acanthurus,triostegus,ACTR,1,182.12,3814.205,17.276,7.3152,RES,PUP
PUP001,Acanthuridae,Acanthurus,triostegus,ACTR,1,166.898,8556.235,18.153,7.3152,RES,PUP
PUP001,Acanthuridae,Acanthurus,leucopareius,ACLE,1,175.121,5051.286,1.427,7.3152,RES,PUP
PUP001,Acanthuridae,Acanthurus,triostegus,ACTR,1,118.275,8019.652,17.32,7.3152,RES,PUP
PUP004,Mullidae,Parupeneus,multifasciatus,PAMU,1,92.836,3066.238,14.209,6.096,RES,PUP
PUP004,Mullidae,Parupeneus,multifasciatus,PAMU,1,46.067,2846.426,5.284,6.096,RES,PUP
PUP004,Mullidae,Parupeneus,multifasciatus,PAMU,1,76.067,2852.155,12.941,6.096,RES,PUP
PUP005,Mullidae,Parupeneus,multifasciatus,PAMU,1,231.872,5780.18,23.542,3.6576,RES,PUP
PUP005,Acanthuridae,Naso,lituratus,NALI,1,143.633,4760.665,15.073,3.6576,RES,PUP
PUP005,Acanthuridae,Naso,lituratus,NALI,1,225.624,6049.422,15.231,3.6576,RES,PUP
PUP005,Acanthuridae,Acanthurus,leucopareius,ACLE,1,181.802,6088.604,16.497,3.6576,RES,PUP
PUP005,Mullidae,Parupeneus,insularis,PAIN,1,268.068,5422.201,19.103,3.6576,RES,PUP
PUP005,Acanthuridae,Acanthurus,leucopareius,ACLE,1,161.737,5990.442,13.265,3.6576,RES,PUP
PUP005,Acanthuridae,Acanthurus,leucopareius,ACLE,1,114.519,4786.681,15.614,3.6576,RES,PUP
PUP005,Acanthuridae,Acanthurus,leucopareius,ACLE,1,175.857,4691.308,23.238,3.6576,RES,PUP
PUP005,Acanthuridae,Acanthurus,leucopareius,ACLE,1,162.653,3474.147,12.472,3.6576,RES,PUP
PUP005,Acanthuridae,Acanthurus,leucopareius,ACLE,1,232.917,4721.072,18.255,3.6576,RES,PUP
PUP006,Scaridae,Scarus,rubroviolaceus,SCRU,1,700,9273.954,17.002,4.2672,RES,PUP
PUP007,Acanthuridae,Acanthurus,triostegus,ACTR,1,132.36,7220.442,17.097,7.9248,RES,PUP
PUP007,Acanthuridae,Acanthurus,leucopareius,ACLE,1,149.99,7116.09,15.192,7.9248,RES,PUP
PUP007,Acanthuridae,Acanthurus,triostegus,ACTR,1,201.298,6204.277,22.904,7.9248,RES,PUP
PUP007,Acanthuridae,Acanthurus,triostegus,ACTR,1,124.202,5834.937,21.737,7.9248,RES,PUP
PUP007,Acanthuridae,Acanthurus,leucopareius,ACLE,1,216.517,3548.1,23.961,7.9248,RES,PUP
PUP007,Acanthuridae,Acanthurus,olivaceus,ACOL,1,162.394,6456.711,23.351,7.9248,RES,PUP
PUP007,Acanthuridae,Acanthurus,leucopareius,ACLE,1,99.049,6083.79,10.583,7.9248,RES,PUP
PUP007,Acanthuridae,Acanthurus,leucopareius,ACLE,1,179.3,9884.186,10.76,7.9248,RES,PUP
PUP007,Acanthuridae,Acanthurus,leucopareius,ACLE,1,175.725,6600.27,14.909,7.9248,RES,PUP
PUP007,Acanthuridae,Acanthurus,leucopareius,ACLE,1,133.277,7404.545,9.078,7.9248,RES,PUP
PUP007,Acanthuridae,Acanthurus,leucopareius,ACLE,1,168.823,7997.1,10.176,7.9248,RES,PUP
PUP011,Acanthuridae,Ctenochaetus,strigosus,CTST,1,161.147,5560.155,22.044,4.8768,RES,PUP
PUP011,Scaridae,Scarus,rubroviolaceus,SCRU,1,467.512,4628.533,17.178,4.8768,RES,PUP
PUP011,Scaridae,Scarus,rubroviolaceus,SCRU,1,587.948,4607.839,17.526,4.8768,RES,PUP
PUP011,Acanthuridae,Acanthurus,olivaceus,ACOL,1,268.213,4818.422,22.597,4.8768,RES,PUP
PUP011,Mullidae,Parupeneus,cyclostomus,PACY,1,116.759,3470.781,14.803,4.8768,RES,PUP
PUP011,Acanthuridae,Acanthurus,olivaceus,ACOL,1,267.871,3563.014,16.266,4.8768,RES,PUP
PUP011,Acanthuridae,Acanthurus,olivaceus,ACOL,1,337.015,2822.043,20.381,4.8768,RES,PUP
PUP011,Acanthuridae,Naso,lituratus,NALI,1,223.321,4832.462,21.64,4.8768,RES,PUP
PUP011,Acanthuridae,Acanthurus,leucopareius,ACLE,1,196.781,2182.598,18.864,4.8768,RES,PUP
PUP011,Acanthuridae,Acanthurus,leucopareius,ACLE,1,202.804,2257.049,16.601,4.8768,RES,PUP
PUP011,Acanthuridae,Acanthurus,leucopareius,ACLE,1,202.32,2041.613,17.678,4.8768,RES,PUP
PUP011,Acanthuridae,Acanthurus,leucopareius,ACLE,1,199.867,1907.295,13.752,4.8768,RES,PUP
PUP011,Acanthuridae,Acanthurus,leucopareius,ACLE,1,219.272,1938.96,14.875,4.8768,RES,PUP
PUP011,Acanthuridae,Acanthurus,leucopareius,ACLE,1,127.914,1837.675,9.648,4.8768,RES,PUP
PUP011,Acanthuridae,Acanthurus,leucopareius,ACLE,1,208.764,1773.95,9.223,4.8768,RES,PUP
PUP011,Acanthuridae,Acanthurus,leucopareius,ACLE,1,226.762,2259.766,2.657,4.8768,RES,PUP
PUP011,Acanthuridae,Acanthurus,leucopareius,ACLE,1,183.57,2549.143,6.818,4.8768,RES,PUP
PUP011,Acanthuridae,Acanthurus,leucopareius,ACLE,1,206.66,1762.48,14.919,4.8768,RES,PUP
PUP011,Acanthuridae,Acanthurus,leucopareius,ACLE,2,177.656,1863.39,18.138,4.8768,RES,PUP
PUP011,Acanthuridae,Acanthurus,leucopareius,ACLE,3,128.521,1837.854,9.633,4.8768,RES,PUP
PUP011,Acanthuridae,Acanthurus,leucopareius,ACLE,4,226.204,1782.473,9.09,4.8768,RES,PUP
PUP011,Acanthuridae,Acanthurus,leucopareius,ACLE,4,196.298,2059.152,7.835,4.8768,RES,PUP
PUP011,Acanthuridae,Acanthurus,leucopareius,ACLE,5,200.715,2042.104,17.697,4.8768,RES,PUP
PUP011,Acanthuridae,Acanthurus,leucopareius,ACLE,1,225.09,1735.117,7.645,4.8768,RES,PUP
PUP011,Acanthuridae,Acanthurus,leucopareius,ACLE,1,220.687,1858.284,13.036,4.8768,RES,PUP
PUP011,Acanthuridae,Acanthurus,leucopareius,ACLE,1,192.867,1540.155,13.234,4.8768,RES,PUP
PUP011,Acanthuridae,Acanthurus,leucopareius,ACLE,1,219.872,1634.787,17.12,4.8768,RES,PUP
PUP011,Acanthuridae,Acanthurus,triostegus,ACTR,1,168.019,2061.278,19.153,4.8768,RES,PUP
PUP011,Acanthuridae,Acanthurus,olivaceus,ACOL,1,135.955,5922.735,19.557,4.8768,RES,PUP
PUP011,Acanthuridae,Ctenochaetus,strigosus,CTST,1,217.103,1661.079,15.262,4.8768,RES,PUP
PUP011,Acanthuridae,Naso,lituratus,NALI,1,269.385,3906.077,22.566,4.8768,RES,PUP
PUP011,Acanthuridae,Acanthurus,blochii,ACBL,1,302.503,6190.067,20.506,4.8768,RES,PUP
PUP015,Acanthuridae,Acanthurus,leucopareius,ACLE,1,205.784,4262.897,23.359,6.7056,RES,PUP
PUP015,Acanthuridae,Acanthurus,leucopareius,ACLE,1,224.452,8191.381,14.907,6.7056,RES,PUP
PUP015,Acanthuridae,Acanthurus,leucopareius,ACLE,1,183.687,3986,17.46,6.7056,RES,PUP
PUP015,Acanthuridae,Acanthurus,leucopareius,ACLE,1,206.297,2119.404,20.592,6.7056,RES,PUP
PUP015,Acanthuridae,Acanthurus,leucopareius,ACLE,1,182.956,8660.451,16.198,6.7056,RES,PUP
PUP015,Acanthuridae,Acanthurus,leucopareius,ACLE,1,214.719,5052.727,22.595,6.7056,RES,PUP
PUP015,Scaridae,Scarus,rubroviolaceus,SCRU,1,689.59,11653.347,18.218,6.7056,RES,PUP
PUP015,Acanthuridae,Acanthurus,leucopareius,ACLE,1,205.246,4292.804,21.089,6.7056,RES,PUP
PUP015,Acanthuridae,Acanthurus,leucopareius,ACLE,1,200.836,3021.511,20.335,6.7056,RES,PUP
PUP015,Acanthuridae,Acanthurus,leucopareius,ACLE,1,175.057,4500.066,24.298,6.7056,RES,PUP
PUP015,Acanthuridae,Naso,lituratus,NALI,1,286.873,6596.336,7.318,6.7056,RES,PUP
PUP015,Acanthuridae,Naso,lituratus,NALI,1,267.116,4194.969,0.586,6.7056,RES,PUP
PUP015,Acanthuridae,Acanthurus,leucopareius,ACLE,1,202.239,3037.391,21.157,6.7056,RES,PUP
PUP015,Acanthuridae,Acanthurus,leucopareius,ACLE,1,194.202,2656.402,20.514,6.7056,RES,PUP
PUP015,Acanthuridae,Acanthurus,leucopareius,ACLE,1,202.501,6742.221,22.168,6.7056,RES,PUP
PUP015,Acanthuridae,Acanthurus,leucopareius,ACLE,1,173.125,8583.582,17.12,6.7056,RES,PUP
PUP015,Acanthuridae,Acanthurus,leucopareius,ACLE,1,207.941,8166.43,21.183,6.7056,RES,PUP
PUP016,Acanthuridae,Acanthurus,leucopareius,ACLE,1,222.074,2304.702,15.278,6.096,RES,PUP
PUP016,Acanthuridae,Acanthurus,leucopareius,ACLE,1,238.648,1948.882,20.834,6.096,RES,PUP
PUP016,Acanthuridae,Ctenochaetus,strigosus,CTST,1,151.591,4568.946,22.07,6.096,RES,PUP
PUP016,Acanthuridae,Ctenochaetus,strigosus,CTST,1,168.759,3834.066,22.105,6.096,RES,PUP
PUP016,Acanthuridae,Ctenochaetus,strigosus,CTST,1,220.858,3766.295,19.204,6.096,RES,PUP
PUP016,Acanthuridae,Ctenochaetus,strigosus,CTST,1,201.763,5395.613,13.715,6.096,RES,PUP
PUP016,Acanthuridae,Acanthurus,blochii,ACBL,1,254.476,2517.871,13.217,6.096,RES,PUP
PUP016,Acanthuridae,Ctenochaetus,strigosus,CTST,1,214.793,5258.597,20.682,6.096,RES,PUP
PUP016,Lutjanidae,Lutjanus,fulvus,LUFU,1,297.661,3178.132,19.603,6.096,RES,PUP
PUP016,Acanthuridae,Ctenochaetus,strigosus,CTST,1,218.922,7309.101,16.414,6.096,RES,PUP
PUP016,Acanthuridae,Ctenochaetus,strigosus,CTST,1,222.461,1947.602,21.595,6.096,RES,PUP
PUP016,Acanthuridae,Ctenochaetus,strigosus,CTST,1,179.687,2252.085,21.947,6.096,RES,PUP
PUP016,Kyphosidae,Kyphosus,sp,CHUB,1,312.313,990.852,11.566,6.096,RES,PUP
PUP016,Kyphosidae,Kyphosus,sp,CHUB,1,407.247,4326.059,24.881,6.096,RES,PUP
PUP016,Kyphosidae,Kyphosus,sp,CHUB,1,304.528,4276.752,14.549,6.096,RES,PUP
PUP016,Kyphosidae,Kyphosus,sp,CHUB,1,492.938,4844.867,21.073,6.096,RES,PUP
PUP016,Kyphosidae,Kyphosus,sp,CHUB,1,366.504,924.734,2.92,6.096,RES,PUP
PUP016,Kyphosidae,Kyphosus,sp,CHUB,1,397.195,907.378,5.523,6.096,RES,PUP
PUP016,Kyphosidae,Kyphosus,sp,CHUB,1,375.124,2867.463,24.303,6.096,RES,PUP
PUP016,Acanthuridae,Acanthurus,guttatus,ACGU,1,213.747,5007.118,16.158,6.096,RES,PUP
PUP016,Kyphosidae,Kyphosus,sp,CHUB,1,349.485,4792.971,22.386,6.096,RES,PUP
PUP016,Kyphosidae,Kyphosus,sp,CHUB,1,365.888,4277.921,20.79,6.096,RES,PUP
PUP016,Acanthuridae,Acanthurus,achilles,ACAC,1,186.999,4111.114,20.105,6.096,RES,PUP
PUP016,Kyphosidae,Kyphosus,sp,CHUB,1,284.807,1783.652,18.13,6.096,RES,PUP
PUP016,Acanthuridae,Acanthurus,leucopareius,ACLE,1,132.677,3353.528,16.705,6.096,RES,PUP
PUP016,Kyphosidae,Kyphosus,sp,CHUB,1,325.979,2788.223,19.542,6.096,RES,PUP
PUP016,Acanthuridae,Acanthurus,leucopareius,ACLE,1,168.882,3730.2,19.847,6.096,RES,PUP
PUP016,Acanthuridae,Acanthurus,leucopareius,ACLE,1,178.484,5786.673,8.773,6.096,RES,PUP
PUP016,Kyphosidae,Kyphosus,sp,CHUB,1,227.323,4703.697,13.074,6.096,RES,PUP
PUP016,Kyphosidae,Kyphosus,sp,CHUB,1,329.989,1777.608,18.068,6.096,RES,PUP
PUP017,Mullidae,Parupeneus,insularis,PAIN,1,96.743,1428.892,16.321,5.7912,RES,PUP
PUP017,Acanthuridae,Acanthurus,leucopareius,ACLE,1,181.423,1733.337,11.653,5.7912,RES,PUP
PUP017,Acanthuridae,Acanthurus,leucopareius,ACLE,1,209.13,2208.835,12.747,5.7912,RES,PUP
PUP017,Acanthuridae,Acanthurus,nigroris,ACNR,1,142.9,2338.154,18.762,5.7912,RES,PUP
PUP017,Acanthuridae,Acanthurus,nigroris,ACNR,1,90.713,2297.282,17.698,5.7912,RES,PUP
PUP019,Labridae,Bodianus,albotaeniatus,BOBI,1,480.277,9480.145,8.49,10.9728,RES,PUP
PUP019,Acanthuridae,Acanthurus,leucopareius,ACLE,1,211.702,5969.271,20.814,10.9728,RES,PUP
PUP019,Acanthuridae,Acanthurus,leucopareius,ACLE,1,140.664,6316.481,18.97,10.9728,RES,PUP
PUP019,Acanthuridae,Acanthurus,leucopareius,ACLE,1,187.134,5682.566,21.592,10.9728,RES,PUP
PUP019,Kyphosidae,Kyphosus,sp,CHUB,1,342.316,5675.922,22.583,10.9728,RES,PUP
PUP019,Kyphosidae,Kyphosus,sp,CHUB,1,360.248,5036.831,22.407,10.9728,RES,PUP
PUP019,Carangidae,Caranx,melampygus,CAME,1,276.348,3194.184,22.007,10.9728,RES,PUP
PUP019,Acanthuridae,Naso,unicornis,NAUN,1,203.301,4229.552,13.309,10.9728,RES,PUP
PUP019,Carangidae,Carangoides,orthogrammus,CAOR,1,265.84,2702.994,21.447,10.9728,RES,PUP
PUP019,Acanthuridae,Acanthurus,triostegus,ACTR,1,149.776,3730.223,13.565,10.9728,RES,PUP
PUP019,Carangidae,Caranx,melampygus,CAME,1,338.145,9345.422,14.448,10.9728,RES,PUP
PUP019,Acanthuridae,Acanthurus,olivaceus,ACOL,1,254.413,6532.674,22.009,10.9728,RES,PUP
PUP019,Acanthuridae,Acanthurus,leucopareius,ACLE,1,195.014,7105.296,15.355,10.9728,RES,PUP
PUP019,Kyphosidae,Kyphosus,sp,CHUB,1,300.489,6612.433,22.837,10.9728,RES,PUP
PUP019,Acanthuridae,Acanthurus,triostegus,ACTR,1,184.582,7054.616,5.477,10.9728,RES,PUP
PUP019,Acanthuridae,Acanthurus,triostegus,ACTR,1,121.343,6579.549,5.094,10.9728,RES,PUP
PUP019,Acanthuridae,Acanthurus,triostegus,ACTR,1,203.351,4663.056,12.756,10.9728,RES,PUP
PUP019,Kyphosidae,Kyphosus,sp,CHUB,1,390.996,2637.708,19.271,10.9728,RES,PUP
PUP019,Acanthuridae,Acanthurus,leucopareius,ACLE,1,250,3827.386,13.142,10.9728,RES,PUP
PUP019,Acanthuridae,Acanthurus,leucopareius,ACLE,1,250,3540.256,23.85,10.9728,RES,PUP
PUP019,Acanthuridae,Acanthurus,leucopareius,ACLE,1,213.915,6069.528,14.531,10.9728,RES,PUP
PUP019,Acanthuridae,Acanthurus,leucopareius,ACLE,1,182.256,2408.493,19.86,10.9728,RES,PUP
PUP019,Acanthuridae,Acanthurus,triostegus,ACTR,1,159.513,2378.886,19.364,10.9728,RES,PUP
PUP019,Acanthuridae,Acanthurus,nigroris,ACNR,1,250,2150.812,10.47,10.9728,RES,PUP
PUP019,Acanthuridae,Acanthurus,nigroris,ACNR,1,192.335,1651.855,18.787,10.9728,RES,PUP
PUP020,Acanthuridae,Acanthurus,leucopareius,ACLE,1,204.946,5076.249,19.014,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,leucopareius,ACLE,1,165.115,4851.803,17.218,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,olivaceus,ACOL,1,234.39,3130.078,17.363,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,olivaceus,ACOL,1,221.812,3423.165,12.752,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,leucopareius,ACLE,1,166.935,3485.844,10.571,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,leucopareius,ACLE,1,194.373,3560.753,8.152,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,leucopareius,ACLE,1,153.141,3349.398,8.715,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,blochii,ACBL,1,218.97,4515.636,12.732,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,olivaceus,ACOL,1,250.607,3401.335,16.507,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,leucopareius,ACLE,1,167.059,3707.75,14.064,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,leucopareius,ACLE,1,163.694,3264.564,13.816,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,leucopareius,ACLE,1,213.86,4428.083,21.577,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,leucopareius,ACLE,1,227.637,3939.633,6.881,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,leucopareius,ACLE,1,193.109,4099.751,14.703,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,olivaceus,ACOL,1,285.067,3163.515,22.654,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,leucopareius,ACLE,1,140.453,3769.822,12.296,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,leucopareius,ACLE,1,178.981,3815.05,10.112,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,leucopareius,ACLE,1,195.571,4368.443,18.602,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,leucopareius,ACLE,1,222.624,4001.807,19.817,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,leucopareius,ACLE,1,142.315,3562.01,15.123,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,leucopareius,ACLE,1,224.485,3800.947,14.458,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,leucopareius,ACLE,1,224.056,4642.181,11.086,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,leucopareius,ACLE,1,241.569,4343.824,10.733,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,leucopareius,ACLE,1,224.19,3690.661,16.812,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,leucopareius,ACLE,1,171.323,3789.066,15.883,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,leucopareius,ACLE,1,237.446,3996.854,19.973,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,leucopareius,ACLE,1,186.895,3860.325,21.892,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,leucopareius,ACLE,1,168.385,2777.058,13.666,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,leucopareius,ACLE,1,162.728,4482.07,14.671,8.2296,RES,PUP
PUP020,Acanthuridae,Acanthurus,leucopareius,ACLE,1,198.173,2475.237,14.499,8.2296,RES,PUP
PUP023,Lethrinidae,Monotaxis,grandoculis,MOGR,1,184.998,4473.801,22.682,13.716,RES,PUP
PUP023,Mullidae,Parupeneus,multifasciatus,PAMU,1,165.616,3838.969,18.779,13.716,RES,PUP
PUP023,Acanthuridae,Acanthurus,olivaceus,ACOL,1,245.315,1850.738,5.973,13.716,RES,PUP
PUP023,Acanthuridae,Acanthurus,olivaceus,ACOL,1,326.389,1653.779,12.674,13.716,RES,PUP
PUP023,Acanthuridae,Acanthurus,olivaceus,ACOL,1,281.97,2246.114,11.257,13.716,RES,PUP
PUP023,Acanthuridae,Naso,lituratus,NALI,1,167.741,4431.156,21.458,13.716,RES,PUP
PUP023,Acanthuridae,Naso,lituratus,NALI,1,182.432,3721.829,23.611,13.716,RES,PUP
PUP023,Mullidae,Parupeneus,multifasciatus,PAMU,1,52.962,3099.573,10.624,13.716,RES,PUP
PUP023,Acanthuridae,Acanthurus,olivaceus,ACOL,1,351.299,3607.258,23.107,13.716,RES,PUP
PUP023,Scaridae,Calotomus,carolinus,CACA,1,364.669,4514.726,12.421,13.716,RES,PUP
PUP023,Acanthuridae,Naso,lituratus,NALI,1,111.419,5459.814,20.858,13.716,RES,PUP
PUP023,Acanthuridae,Acanthurus,olivaceus,ACOL,1,266.586,3934.666,5.7,13.716,RES,PUP
PUP023,Mullidae,Parupeneus,multifasciatus,PAMU,1,198.844,6973.427,9.058,13.716,RES,PUP
PUP023,Mullidae,Parupeneus,multifasciatus,PAMU,1,63.123,2067.17,14.457,13.716,RES,PUP
PUP023,Mullidae,Parupeneus,multifasciatus,PAMU,1,90.962,2263.067,12.599,13.716,RES,PUP
PUP023,Mullidae,Parupeneus,multifasciatus,PAMU,1,58.009,2107.395,15.629,13.716,RES,PUP
PUP023,Acanthuridae,Acanthurus,leucopareius,ACLE,1,191.981,4144.502,6.291,13.716,RES,PUP
PUP024,Acanthuridae,Naso,lituratus,NALI,1,278.208,7485.123,20.1,5.1816,RES,PUP
PUP024,Acanthuridae,Acanthurus,leucopareius,ACLE,1,194.549,3987.798,23.066,5.1816,RES,PUP
PUP024,Scaridae,Calotomus,carolinus,CACA,1,330.564,6148.905,11.044,5.1816,RES,PUP
PUP024,Acanthuridae,Naso,lituratus,NALI,1,252.134,4710.434,10.018,5.1816,RES,PUP
PUP024,Kyphosidae,Kyphosus,sp,CHUB,1,287.687,4305.709,21.647,5.1816,RES,PUP
PUP024,Kyphosidae,Kyphosus,sp,CHUB,1,374.096,4122.21,20.761,5.1816,RES,PUP
PUP024,Kyphosidae,Kyphosus,sp,CHUB,1,345.426,2284.027,7.626,5.1816,RES,PUP
PUP024,Kyphosidae,Kyphosus,sp,CHUB,1,310.16,3466.918,6.092,5.1816,RES,PUP
PUP024,Acanthuridae,Naso,lituratus,NALI,1,232.965,4558.651,12.598,5.1816,RES,PUP
PUP024,Acanthuridae,Acanthurus,leucopareius,ACLE,1,212.279,3227.281,13.408,5.1816,RES,PUP
PUP024,Kyphosidae,Kyphosus,sp,CHUB,1,236.738,2878.953,11.87,5.1816,RES,PUP
PUP024,Kyphosidae,Kyphosus,sp,CHUB,1,424.44,2531.672,3.369,5.1816,RES,PUP
PUP024,Kyphosidae,Kyphosus,sp,CHUB,1,393.081,2905.378,9.74,5.1816,RES,PUP
PUP024,Kyphosidae,Kyphosus,sp,CHUB,1,325.932,3169.845,4.413,5.1816,RES,PUP
PUP024,Acanthuridae,Naso,unicornis,NAUN,1,453.351,7227.677,18.48,5.1816,RES,PUP
PUP024,Kyphosidae,Kyphosus,sp,CHUB,1,330.095,2495.633,12.622,5.1816,RES,PUP
PUP024,Kyphosidae,Kyphosus,sp,CHUB,1,241.502,3333.151,21.287,5.1816,RES,PUP
PUP024,Kyphosidae,Kyphosus,sp,CHUB,1,344.328,5225.324,12.641,5.1816,RES,PUP
PUP024,Kyphosidae,Kyphosus,sp,CHUB,1,297.893,3873.873,15.563,5.1816,RES,PUP
PUP024,Acanthuridae,Acanthurus,leucopareius,ACLE,1,201.788,3397.841,9.62,5.1816,RES,PUP
PUP024,Acanthuridae,Naso,unicornis,NAUN,1,548.879,6402.144,22.692,5.1816,RES,PUP
PUP024,Acanthuridae,Naso,lituratus,NALI,1,260.631,3276.455,13.385,5.1816,RES,PUP
PUP024,Kyphosidae,Kyphosus,sp,CHUB,1,335.075,3104.725,18.146,5.1816,RES,PUP
PUP024,Kyphosidae,Kyphosus,sp,CHUB,1,307.98,2265.877,15.534,5.1816,RES,PUP
PUP024,Kyphosidae,Kyphosus,sp,CHUB,1,345.591,3701.27,15.583,5.1816,RES,PUP
PUP024,Acanthuridae,Naso,lituratus,NALI,1,241.033,3534.583,13.458,5.1816,RES,PUP
PUP024,Kyphosidae,Kyphosus,sp,CHUB,1,231.816,2490.768,15.595,5.1816,RES,PUP
PUP024,Kyphosidae,Kyphosus,sp,CHUB,1,273.055,5025.318,17.392,5.1816,RES,PUP
PUP024,Kyphosidae,Kyphosus,sp,CHUB,1,314.786,4716.822,10.083,5.1816,RES,PUP
PUP024,Acanthuridae,Naso,unicornis,NAUN,1,264.581,5769.662,5.347,5.1816,RES,PUP
PUP024,Kyphosidae,Kyphosus,sp,CHUB,1,260.662,4771.349,18.665,5.1816,RES,PUP
PUP024,Kyphosidae,Kyphosus,sp,CHUB,1,303.367,5315.973,17.703,5.1816,RES,PUP
